MONTH,GEOGRAPHY,DURATION,AGE GROUP,Both sexes,Male,Female
Mar2001,"Total, Ontario regions",   27 weeks or more,  20-24,3.4,2.5,0.0
Mar2001,"Total, Ontario regions",   27 weeks or more,  25-44,23.5,13.1,10.4
Mar2001,"Total, Ontario regions",   27 weeks or more,  45-54,12.2,7.0,5.2
Mar2001,"Total, Ontario regions",   27 weeks or more,  55-64,5.6,2.3,3.2
Mar2001,"Total, Ontario regions",   27 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      27 - 51 weeks,"Total, 15 years and over",17.7,9.8,7.8
Mar2001,"Total, Ontario regions",      27 - 51 weeks, 15-64 years,17.7,9.8,7.8
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  15-19,2.5,1.5,0.0
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  20-24,1.5,0.0,0.0
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  25-44,8.4,4.4,4.0
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  45-54,3.9,2.3,1.6
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  55-64,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      52 weeks,"Total, 15 years and over",14.6,7.6,7.1
Mar2001,"Total, Ontario regions",      52 weeks, 15-64 years,14.5,7.6,7.0
Mar2001,"Total, Ontario regions",      52 weeks,  15-19,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      52 weeks,  20-24,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      52 weeks,  25-44,6.9,4.1,2.8
Mar2001,"Total, Ontario regions",      52 weeks,  45-54,3.3,1.8,1.5
Mar2001,"Total, Ontario regions",      52 weeks,  55-64,1.9,0.0,0.0
Mar2001,"Total, Ontario regions",      52 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      53 weeks or more,"Total, 15 years and over",16.9,9.9,7.0
Mar2001,"Total, Ontario regions",      53 weeks or more, 15-64 years,16.6,9.6,7.0
Mar2001,"Total, Ontario regions",      53 weeks or more,  15-19,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      53 weeks or more,  20-24,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",      53 weeks or more,  25-44,8.2,4.6,3.6
Mar2001,"Total, Ontario regions",      53 weeks or more,  45-54,4.9,2.9,2.0
Mar2001,"Total, Ontario regions",      53 weeks or more,  55-64,2.3,0.0,0.0
Mar2001,"Total, Ontario regions",      53 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   Duration unknown,"Total, 15 years and over",13.9,7.7,6.3
Mar2001,"Total, Ontario regions",   Duration unknown, 15-64 years,13.9,7.7,6.3
Mar2001,"Total, Ontario regions",   Duration unknown,  15-19,2.5,0.0,1.5
Mar2001,"Total, Ontario regions",   Duration unknown,  20-24,1.8,0.0,0.0
Mar2001,"Total, Ontario regions",   Duration unknown,  25-44,7.3,4.7,2.6
Mar2001,"Total, Ontario regions",   Duration unknown,  45-54,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   Duration unknown,  55-64,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   Duration unknown,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),"Total, 15 years and over",15.9,15.3,16.7
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code), 15-64 years,15.8,15.1,16.8
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  15-19,8.8,8.7,9.1
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  20-24,9.5,9.9,8.8
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  25-44,15.9,15.4,16.4
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  45-54,25.7,24.9,26.9
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  55-64,22.5,19.9,25.7
Mar2001,"Total, Ontario regions",Average weeks unemployed (no top-code),  65 years and over,31.3,52.2,10.4
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",14.0,13.8,14.2
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks), 15-64 years,13.9,13.7,14.2
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  15-19,8.8,8.7,9.1
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  20-24,9.3,9.8,8.3
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  25-44,14.3,14.4,14.2
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  45-54,19.4,19.2,19.6
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  55-64,20.4,19.0,22.2
Mar2001,"Total, Ontario regions",Average weeks unemployed (top-code = 99 weeks),  65 years and over,22.5,34.5,10.4
Mar2001,Eastern region,Total unemployed,"Total, 15 years and over",58.8,32.5,26.3
Mar2001,Eastern region,Total unemployed, 15-64 years,58.8,32.5,26.3
Mar2001,Eastern region,Total unemployed,  15-19,10.3,5.3,5.0
Mar2001,Eastern region,Total unemployed,  20-24,11.0,6.8,4.2
Mar2001,Eastern region,Total unemployed,  25-44,29.7,16.0,13.8
Mar2001,Eastern region,Total unemployed,  45-54,4.8,2.5,2.3
Mar2001,Eastern region,Total unemployed,  55-64,3.0,2.0,0.0
Mar2001,Eastern region,Total unemployed,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   1 - 4 weeks,"Total, 15 years and over",26.7,12.2,14.4
Mar2001,Eastern region,   1 - 4 weeks, 15-64 years,26.7,12.2,14.4
Mar2001,Eastern region,   1 - 4 weeks,  15-19,6.2,2.7,3.5
Mar2001,Eastern region,   1 - 4 weeks,  20-24,6.9,3.0,3.9
Mar2001,Eastern region,   1 - 4 weeks,  25-44,11.2,5.2,6.1
Mar2001,Eastern region,   1 - 4 weeks,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,   1 - 4 weeks,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   5 - 13 weeks,"Total, 15 years and over",20.4,13.6,6.8
Mar2001,Eastern region,   5 - 13 weeks, 15-64 years,20.4,13.6,6.8
Mar2001,Eastern region,   5 - 13 weeks,  15-19,2.9,1.9,0.0
Mar2001,Eastern region,   5 - 13 weeks,  20-24,2.9,2.7,0.0
Mar2001,Eastern region,   5 - 13 weeks,  25-44,12.3,7.7,4.6
Mar2001,Eastern region,   5 - 13 weeks,  45-54,2.0,0.0,0.0
Mar2001,Eastern region,   5 - 13 weeks,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   14 - 25 weeks,"Total, 15 years and over",6.4,3.7,2.7
Mar2001,Eastern region,   14 - 25 weeks, 15-64 years,6.4,3.7,2.7
Mar2001,Eastern region,   14 - 25 weeks,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,   14 - 25 weeks,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,   14 - 25 weeks,  25-44,3.6,1.8,1.9
Mar2001,Eastern region,   14 - 25 weeks,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,   14 - 25 weeks,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,"Total, 15 years and over",0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks , 15-64 years,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  25-44,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,"Total, 15 years and over",3.6,1.7,1.9
Mar2001,Eastern region,   27 weeks or more, 15-64 years,3.6,1.7,1.9
Mar2001,Eastern region,   27 weeks or more,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,  25-44,1.7,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,"Total, 15 years and over",0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks, 15-64 years,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  25-44,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,"Total, 15 years and over",0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks, 15-64 years,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  25-44,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,      52 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,"Total, 15 years and over",1.5,0.0,0.0
Mar2001,Eastern region,      53 weeks or more, 15-64 years,1.5,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  25-44,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,      53 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,"Total, 15 years and over",0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown, 15-64 years,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  15-19,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  20-24,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  25-44,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  45-54,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  55-64,0.0,0.0,0.0
Mar2001,Eastern region,   Duration unknown,  65 years and over,0.0,0.0,0.0
Mar2001,Eastern region,Average weeks unemployed (no top-code),"Total, 15 years and over",11.2,10.5,12.0
Mar2001,Eastern region,Average weeks unemployed (no top-code), 15-64 years,11.2,10.5,12.0
Mar2001,Eastern region,Average weeks unemployed (no top-code),  15-19,6.6,7.3,5.8
Mar2001,Eastern region,Average weeks unemployed (no top-code),  20-24,6.6,8.6,3.4
Mar2001,Eastern region,Average weeks unemployed (no top-code),  25-44,10.5,9.8,11.2
Mar2001,Eastern region,Average weeks unemployed (no top-code),  45-54,30.6,21.7,40.3
Mar2001,Eastern region,Average weeks unemployed (no top-code),  55-64,19.9,16.8,26.1
Mar2001,Eastern region,Average weeks unemployed (no top-code),  65 years and over,13.0,13.0,0.0
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",10.3,10.4,10.3
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks), 15-64 years,10.3,10.4,10.3
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  15-19,6.6,7.3,5.8
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  20-24,6.6,8.6,3.4
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  25-44,10.3,9.7,10.9
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  45-54,21.4,20.6,22.3
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  55-64,19.9,16.8,26.0
Mar2001,Eastern region,Average weeks unemployed (top-code = 99 weeks),  65 years and over,13.0,13.0,0.0
Mar2001,Central region,Total unemployed,"Total, 15 years and over",181.1,99.5,81.6
Mar2001,Central region,Total unemployed, 15-64 years,179.6,98.8,80.8
Mar2001,Central region,Total unemployed,  15-19,23.2,13.2,10.1
Mar2001,Central region,Total unemployed,  20-24,19.5,13.7,5.8
Mar2001,Central region,Total unemployed,  25-44,89.5,46.1,43.4
Mar2001,Central region,Total unemployed,  45-54,32.9,18.7,14.2
Mar2001,Central region,Total unemployed,  55-64,14.5,7.2,7.2
Mar2001,Central region,Total unemployed,  65 years and over,1.5,0.0,0.0
Mar2001,Central region,   1 - 4 weeks,"Total, 15 years and over",72.7,39.4,33.3
Mar2001,Central region,   1 - 4 weeks, 15-64 years,71.7,39.0,32.7
Mar2001,Central region,   1 - 4 weeks,  15-19,13.7,7.8,5.9
Mar2001,Central region,   1 - 4 weeks,  20-24,11.2,8.1,3.2
Mar2001,Central region,   1 - 4 weeks,  25-44,33.4,16.3,17.1
Mar2001,Central region,   1 - 4 weeks,  45-54,8.6,4.4,4.3
Mar2001,Central region,   1 - 4 weeks,  55-64,4.7,2.4,2.3
Mar2001,Central region,   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,   5 - 13 weeks,"Total, 15 years and over",53.7,28.6,25.1
Mar2001,Central region,   5 - 13 weeks, 15-64 years,53.5,28.6,24.8
Mar2001,Central region,   5 - 13 weeks,  15-19,5.2,2.8,2.4
Mar2001,Central region,   5 - 13 weeks,  20-24,5.7,4.1,1.6
Mar2001,Central region,   5 - 13 weeks,  25-44,27.7,13.5,14.2
Mar2001,Central region,   5 - 13 weeks,  45-54,10.7,6.2,4.5
Mar2001,Central region,   5 - 13 weeks,  55-64,4.1,2.0,2.1
Mar2001,Central region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,   14 - 25 weeks,"Total, 15 years and over",20.6,12.4,8.2
Mar2001,Central region,   14 - 25 weeks, 15-64 years,20.3,12.2,8.2
Mar2001,Central region,   14 - 25 weeks,  15-19,1.5,0.0,0.0
Mar2001,Central region,   14 - 25 weeks,  20-24,0.0,0.0,0.0
Mar2001,Central region,   14 - 25 weeks,  25-44,11.9,6.7,5.2
Mar2001,Central region,   14 - 25 weeks,  45-54,4.9,3.0,1.9
Mar2001,Central region,   14 - 25 weeks,  55-64,0.0,0.0,0.0
Mar2001,Central region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,"Total, 15 years and over",1.6,0.0,0.0
Mar2001,Central region,   26 weeks , 15-64 years,1.6,0.0,0.0
Mar2001,Central region,   26 weeks ,  15-19,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,  20-24,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,  25-44,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,  45-54,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,  55-64,0.0,0.0,0.0
Mar2001,Central region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,   27 weeks or more,"Total, 15 years and over",24.5,14.4,10.0
Mar2001,Central region,   27 weeks or more, 15-64 years,24.5,14.4,10.0
Mar2001,Central region,   27 weeks or more,  15-19,0.0,0.0,0.0
Mar2001,Central region,   27 weeks or more,  20-24,0.0,0.0,0.0
Mar2001,Central region,   27 weeks or more,  25-44,11.2,6.4,4.8
Mar2001,Central region,   27 weeks or more,  45-54,7.3,4.6,2.7
Mar2001,Central region,   27 weeks or more,  55-64,4.0,1.8,2.2
Mar2001,Central region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,      27 - 51 weeks,"Total, 15 years and over",8.8,5.2,3.6
Mar2001,Central region,      27 - 51 weeks, 15-64 years,8.8,5.2,3.6
Mar2001,Central region,      27 - 51 weeks,  15-19,0.0,0.0,0.0
Mar2001,Central region,      27 - 51 weeks,  20-24,0.0,0.0,0.0
Mar2001,Central region,      27 - 51 weeks,  25-44,4.6,2.5,2.1
Mar2001,Central region,      27 - 51 weeks,  45-54,2.6,1.6,0.0
Mar2001,Central region,      27 - 51 weeks,  55-64,0.0,0.0,0.0
Mar2001,Central region,      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,      52 weeks,"Total, 15 years and over",7.0,3.6,3.4
Mar2001,Central region,      52 weeks, 15-64 years,7.0,3.6,3.4
Mar2001,Central region,      52 weeks,  15-19,0.0,0.0,0.0
Mar2001,Central region,      52 weeks,  20-24,0.0,0.0,0.0
Mar2001,Central region,      52 weeks,  25-44,2.8,1.5,0.0
Mar2001,Central region,      52 weeks,  45-54,1.8,0.0,0.0
Mar2001,Central region,      52 weeks,  55-64,0.0,0.0,0.0
Mar2001,Central region,      52 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,      53 weeks or more,"Total, 15 years and over",8.7,5.6,3.1
Mar2001,Central region,      53 weeks or more, 15-64 years,8.7,5.6,3.1
Mar2001,Central region,      53 weeks or more,  15-19,0.0,0.0,0.0
Mar2001,Central region,      53 weeks or more,  20-24,0.0,0.0,0.0
Mar2001,Central region,      53 weeks or more,  25-44,3.8,2.4,0.0
Mar2001,Central region,      53 weeks or more,  45-54,2.9,1.9,0.0
Mar2001,Central region,      53 weeks or more,  55-64,1.8,0.0,0.0
Mar2001,Central region,      53 weeks or more,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,   Duration unknown,"Total, 15 years and over",8.0,4.0,4.0
Mar2001,Central region,   Duration unknown, 15-64 years,8.0,4.0,4.0
Mar2001,Central region,   Duration unknown,  15-19,0.0,0.0,0.0
Mar2001,Central region,   Duration unknown,  20-24,0.0,0.0,0.0
Mar2001,Central region,   Duration unknown,  25-44,4.9,2.9,2.0
Mar2001,Central region,   Duration unknown,  45-54,0.0,0.0,0.0
Mar2001,Central region,   Duration unknown,  55-64,0.0,0.0,0.0
Mar2001,Central region,   Duration unknown,  65 years and over,0.0,0.0,0.0
Mar2001,Central region,Average weeks unemployed (no top-code),"Total, 15 years and over",16.8,16.2,17.6
Mar2001,Central region,Average weeks unemployed (no top-code), 15-64 years,16.9,16.2,17.7
Mar2001,Central region,Average weeks unemployed (no top-code),  15-19,7.8,8.3,7.2
Mar2001,Central region,Average weeks unemployed (no top-code),  20-24,7.1,7.3,6.3
Mar2001,Central region,Average weeks unemployed (no top-code),  25-44,15.3,15.2,15.3
Mar2001,Central region,Average weeks unemployed (no top-code),  45-54,27.8,25.9,30.4
Mar2001,Central region,Average weeks unemployed (no top-code),  55-64,28.4,27.7,29.1
Mar2001,Central region,Average weeks unemployed (no top-code),  65 years and over,7.4,12.0,4.9
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",14.6,15.1,14.0
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks), 15-64 years,14.7,15.1,14.1
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  15-19,7.8,8.3,7.2
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  20-24,7.1,7.3,6.3
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  25-44,14.1,15.0,13.2
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  45-54,20.7,21.5,19.6
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  55-64,24.7,25.9,23.4
Mar2001,Central region,Average weeks unemployed (top-code = 99 weeks),  65 years and over,7.4,12.0,4.9
Mar2001,Western region,Total unemployed,"Total, 15 years and over",122.7,74.4,48.3
Mar2001,Western region,Total unemployed, 15-64 years,122.1,74.0,48.1
Mar2001,Western region,Total unemployed,  15-19,26.9,16.6,10.3
Mar2001,Western region,Total unemployed,  20-24,19.2,12.9,6.3
Mar2001,Western region,Total unemployed,  25-44,48.1,28.4,19.7
Mar2001,Western region,Total unemployed,  45-54,19.6,11.1,8.5
Mar2001,Western region,Total unemployed,  55-64,8.3,5.0,3.3
Mar2001,Western region,Total unemployed,  65 years and over,0.0,0.0,0.0
Mar2001,Western region,   1 - 4 weeks,"Total, 15 years and over",45.1,26.9,18.2
Mar2001,Western region,   1 - 4 weeks, 15-64 years,45.0,26.8,18.2
Mar2001,Western region,   1 - 4 weeks,  15-19,12.0,7.3,4.7
Mar2001,Western region,   1 - 4 weeks,  20-24,7.6,5.0,2.6
Mar2001,Western region,   1 - 4 weeks,  25-44,17.3,10.1,7.2
Mar2001,Western region,   1 - 4 weeks,  45-54,5.9,3.2,2.7
Mar2001,Western region,   1 - 4 weeks,  55-64,2.2,0.0,0.0
Mar2001,Western region,   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Western region,   5 - 13 weeks,"Total, 15 years and over",38.8,25.1,13.8
Mar2001,Western region,   5 - 13 weeks, 15-64 years,38.8,25.1,13.7
Mar2001,Western region,   5 - 13 weeks,  15-19,9.2,5.9,3.2
Mar2001,Western region,   5 - 13 weeks,  20-24,7.0,5.0,1.9
Mar2001,Western region,   5 - 13 weeks,  25-44,13.7,8.1,5.6
Mar2001,Western region,   5 - 13 weeks,  45-54,6.1,4.0,2.1
Mar2001,Western region,   5 - 13 weeks,  55-64,2.8,2.0,0.0
Mar2001,Western region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Western region,   14 - 25 weeks,"Total, 15 years and over",18.2,11.3,6.9
Mar2001,Western region,   14 - 25 weeks, 15-64 years,18.1,11.3,6.8
Mar2001,Western region,   14 - 25 weeks,  15-19,2.9,2.1,0.0
Mar2001,Western region,   14 - 25 weeks,  20-24,2.2,0.0,0.0
Mar2001,Western region,   14 - 25 weeks,  25-44,7.6,4.5,3.1
Mar2001,Western region,   14 - 25 weeks,  45-54,3.6,2.1,1.5
Mar2001,Western region,   14 - 25 weeks,  55-64,1.8,0.0,0.0
Mar2001,Western region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,"Total, 15 years and over",0.0,0.0,0.0
Mar2001,Western region,   26 weeks , 15-64 years,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  15-19,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  20-24,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  25-44,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  45-54,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  55-64,0.0,0.0,0.0
Mar2001,Western region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Mar2001,Western region,   27 weeks or more,"Total, 15 years and over",16.1,8.8,7.3
Mar2001,Western region,   27 weeks or more, 15-64 years,15.8,8.5,7.3
Mar2001,Western region,   27 weeks or more,  15-19,2.0,0.0,0.0
Mar2001,Western region,   27 weeks or more,  20-24,1.8,0.0,0.0
Mar2001,Western region,   27 weeks or more,  25-44,8.1,4.8,3.3
Mar2001,Western region,   27 weeks or more,  45-54,3.3,1.6,1.7
Mar2001,Western region,   27 weeks or more,  55-64,0.0,0.0,0.0
Mar2001,Western region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
